,Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Latitude,Longitude,Injury.Severity,Aircraft.damage,Aircraft.Category,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,FAR.Description,Air.carrier,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Weather.Condition,Report.Status,Publication.Date
5,20170710X52551,Accident,NYC79AA106,1979-09-17,"BOSTON, MA",United States,42.445277000000004,-70.758333,Non-Fatal,Substantial,Airplane,CF-TLU,Mcdonnell Douglas,DC9,No,2.0,Turbo Fan,Part 129: Foreign,Air Canada,0.2873980054397099,0.30679298528522475,1.0,Visual Meteorological Conditions,Probable Cause,2017-09-19
22,20020917X01657,Accident,ATL82DA027,1982-01-02,"CHAMBLEE, GA",United States,Unknown,Unknown,Non-Fatal,Substantial,Helicopter,N5745Y,Bell,206L-1,No,1.0,Turbo Shaft,Part 135: Air Taxi & Commuter,"Rocky Mountain Helicopters, In",0.0,0.0,0.0,Visual Meteorological Conditions,Probable Cause,1983-02-01
33,20020917X02254,Accident,LAX82FA038,1982-01-04,"NEAR LAS VEGAS, NV",United States,Unknown,Unknown,Fatal(2),Destroyed,Airplane,N1956H,Piper,PA-34-200T,No,2.0,Reciprocating,Part 135: Air Taxi & Commuter,Lang Air Service,2.0,0.0,0.0,Visual Meteorological Conditions,Probable Cause,1983-04-01
39,20020917X01906,Accident,DCA82AA009,1982-01-05,"ITHACA, NY",United States,Unknown,Unknown,Fatal(2),Destroyed,Airplane,N546BA,Piper,PA-31,No,2.0,Reciprocating,Part 135: Air Taxi & Commuter,Empire Airlines,2.0,0.0,0.0,Visual Meteorological Conditions,Probable Cause,1983-05-01
43,20020917X02156,Accident,LAX82DA037,1982-01-05,"SPRINGERVILLE, AZ",United States,Unknown,Unknown,Non-Fatal,Substantial,Airplane,N738XP,Cessna,TR182,No,1.0,Reciprocating,Part 135: Air Taxi & Commuter,Joel Frederick's Monarch Air,0.0,0.0,0.0,Visual Meteorological Conditions,Probable Cause,1983-05-01
44,20020917X01651,Accident,ANC82FA012,1982-01-05,"BETHEL, AK",United States,Unknown,Unknown,Non-Fatal,Substantial,Airplane,N3343S,Cessna,A185F,No,1.0,Reciprocating,Part 135: Air Taxi & Commuter,Executive Charter Service,0.0,2.0,0.0,Visual Meteorological Conditions,Probable Cause,1983-05-01
51,20020917X01964,Accident,DEN82FA016,1982-01-07,"HELENA, MT",United States,Unknown,Unknown,Fatal(2),Destroyed,Airplane,N9763X,Cessna,210,No,1.0,Reciprocating,Part 135: Air Taxi & Commuter,Robert R. Hylton,2.0,0.0,0.0,Visual Meteorological Conditions,Probable Cause,1983-07-01
74,20020917X01623,Accident,ANC82DA013,1982-01-10,"QUINHAGAK, AK",United States,Unknown,Unknown,Non-Fatal,Substantial,Airplane,N756YN,Cessna,U206,No,1.0,Reciprocating,Part 135: Air Taxi & Commuter,Tri-city Air Service,0.0,0.0,3.0,Visual Meteorological Conditions,Probable Cause,1983-10-01
80,20020917X01765,Incident,ATL82IA034,1982-01-12,"CLARKSBURG, WV",United States,Unknown,Unknown,Incident,Minor,Airplane,N615KC,Embraer,EMB-110P1,No,2.0,Turbo Prop,Part 135: Air Taxi & Commuter,Aeromech Incorporated,0.0,0.0,0.0,Visual Meteorological Conditions,Probable Cause,1983-12-01
87,20020917X02575,Accident,SEA82DA017,1982-01-13,"SPOKANE, WA",United States,Unknown,Unknown,Non-Fatal,Substantial,Airplane,N36PB,Piper,PA-31-350,No,2.0,Reciprocating,Part 135: Air Taxi & Commuter,Richard Engstrom,0.0,0.0,0.0,Instrument Meteorological Conditions,Probable Cause,1983-01-13
